Ward,Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
33,18,"1,045",893,85.45%,120,11.48%,14,1.34%,6,0.57%,2,0.19%,10,0.96%
33,19,872,736,84.40%,123,14.11%,7,0.80%,2,0.23%,0,0%,4,0.46%
33,20,902,785,87.03%,100,11.09%,7,0.78%,4,0.44%,2,0.22%,4,0.44%
33,21,748,663,88.64%,74,9.89%,6,0.80%,3,0.40%,0,0%,2,0.27%
33,22,675,544,80.59%,125,18.52%,4,0.59%,0,0%,0,0%,2,0.30%
33,23,787,678,86.15%,97,12.33%,8,1.02%,2,0.25%,1,0.13%,1,0.13%
33,24,851,746,87.66%,83,9.75%,9,1.06%,0,0%,1,0.12%,12,1.41%
33,25,864,721,83.45%,124,14.35%,8,0.93%,7,0.81%,1,0.12%,3,0.35%
33,26,554,491,88.63%,54,9.75%,4,0.72%,2,0.36%,0,0%,3,0.54%
33,27,874,715,81.81%,141,16.13%,12,1.37%,0,0%,2,0.23%,4,0.46%
33,28,654,584,89.30%,58,8.87%,3,0.46%,4,0.61%,0,0%,5,0.76%
34,1,479,468,97.70%,10,2.09%,0,0%,1,0.21%,0,0%,0,0%
34,2,387,363,93.80%,14,3.62%,6,1.55%,1,0.26%,2,0.52%,1,0.26%
34,3,455,433,95.16%,15,3.30%,2,0.44%,3,0.66%,0,0%,2,0.44%
34,4,340,325,95.59%,15,4.41%,0,0%,0,0%,0,0%,0,0%
34,5,410,392,95.61%,12,2.93%,1,0.24%,1,0.24%,1,0.24%,3,0.73%
34,6,511,480,93.93%,24,4.70%,4,0.78%,0,0%,0,0%,3,0.59%
34,7,490,470,95.92%,8,1.63%,2,0.41%,3,0.61%,1,0.20%,6,1.22%
34,8,391,381,97.44%,8,2.05%,2,0.51%,0,0%,0,0%,0,0%
34,9,315,294,93.33%,19,6.03%,1,0.32%,0,0%,0,0%,1,0.32%
34,10,457,432,94.53%,21,4.60%,2,0.44%,1,0.22%,0,0%,1,0.22%
34,11,394,367,93.15%,19,4.82%,3,0.76%,3,0.76%,2,0.51%,0,0%
34,12,482,466,96.68%,13,2.70%,2,0.41%,1,0.21%,0,0%,0,0%
34,13,447,429,95.97%,15,3.36%,2,0.45%,0,0%,0,0%,1,0.22%
34,14,368,354,96.20%,11,2.99%,1,0.27%,0,0%,2,0.54%,0,0%
34,15,419,399,95.23%,15,3.58%,2,0.48%,0,0%,1,0.24%,2,0.48%
34,16,404,385,95.30%,16,3.96%,1,0.25%,0,0%,1,0.25%,1,0.25%
34,17,560,531,94.82%,21,3.75%,7,1.25%,1,0.18%,0,0%,0,0%
34,18,324,309,95.37%,12,3.70%,1,0.31%,1,0.31%,0,0%,1,0.31%
34,19,509,484,95.09%,22,4.32%,1,0.20%,2,0.39%,0,0%,0,0%
34,20,489,473,96.73%,14,2.86%,2,0.41%,0,0%,0,0%,0,0%
34,21,513,502,97.86%,10,1.95%,0,0%,0,0%,0,0%,1,0.19%
34,22,450,430,95.56%,15,3.33%,4,0.89%,0,0%,0,0%,1,0.22%
34,23,376,364,96.81%,12,3.19%,0,0%,0,0%,0,0%,0,0%
34,24,394,376,95.43%,13,3.30%,3,0.76%,0,0%,1,0.25%,1,0.25%
34,25,676,658,97.34%,14,2.07%,1,0.15%,2,0.30%,1,0.15%,0,0%
34,26,513,497,96.88%,11,2.14%,3,0.58%,2,0.39%,0,0%,0,0%
34,27,375,358,95.47%,14,3.73%,1,0.27%,0,0%,1,0.27%,1,0.27%
34,28,296,283,95.61%,10,3.38%,2,0.68%,0,0%,0,0%,1,0.34%
34,29,378,367,97.09%,9,2.38%,1,0.26%,0,0%,1,0.26%,0,0%
34,30,419,398,94.99%,17,4.06%,3,0.72%,1,0.24%,0,0%,0,0%
34,31,370,353,95.41%,14,3.78%,0,0%,1,0.27%,2,0.54%,0,0%
34,32,448,430,95.98%,15,3.35%,1,0.22%,2,0.45%,0,0%,0,0%
34,33,378,360,95.24%,15,3.97%,3,0.79%,0,0%,0,0%,0,0%
34,34,503,488,97.02%,11,2.19%,3,0.60%,1,0.20%,0,0%,0,0%
34,35,563,531,94.32%,26,4.62%,4,0.71%,1,0.18%,0,0%,1,0.18%
34,36,386,374,96.89%,10,2.59%,2,0.52%,0,0%,0,0%,0,0%
34,37,257,241,93.77%,12,4.67%,2,0.78%,2,0.78%,0,0%,0,0%
34,38,228,211,92.54%,12,5.26%,1,0.44%,2,0.88%,0,0%,2,0.88%
34,39,339,318,93.81%,17,5.01%,2,0.59%,1,0.29%,0,0%,1,0.29%
34,40,509,490,96.27%,15,2.95%,2,0.39%,1,0.20%,0,0%,1,0.20%
34,41,285,272,95.44%,10,3.51%,2,0.70%,0,0%,0,0%,1,0.35%
34,42,433,422,97.46%,6,1.39%,3,0.69%,0,0%,0,0%,2,0.46%
34,43,395,378,95.70%,13,3.29%,1,0.25%,0,0%,0,0%,3,0.76%
34,44,435,417,95.86%,13,2.99%,4,0.92%,0,0%,1,0.23%,0,0%
34,45,457,436,95.40%,18,3.94%,2,0.44%,1,0.22%,0,0%,0,0%
34,46,308,299,97.08%,8,2.60%,0,0%,0,0%,0,0%,1,0.32%
34,47,414,404,97.58%,8,1.93%,1,0.24%,0,0%,1,0.24%,0,0%
34,48,451,434,96.23%,10,2.22%,5,1.11%,0,0%,2,0.44%,0,0%
34,49,420,402,95.71%,11,2.62%,4,0.95%,2,0.48%,0,0%,1,0.24%
34,50,369,354,95.93%,13,3.52%,2,0.54%,0,0%,0,0%,0,0%
34,51,478,449,93.93%,18,3.77%,8,1.67%,0,0%,0,0%,3,0.63%
34,52,334,320,95.81%,11,3.29%,2,0.60%,0,0%,0,0%,1,0.30%
34,53,313,292,93.29%,13,4.15%,4,1.28%,1,0.32%,1,0.32%,2,0.64%
35,1,654,556,85.02%,79,12.08%,13,1.99%,0,0%,0,0%,6,0.92%
35,2,622,543,87.30%,71,11.41%,4,0.64%,0,0%,0,0%,4,0.64%
35,3,551,468,84.94%,74,13.43%,3,0.54%,1,0.18%,0,0%,5,0.91%
35,4,603,492,81.59%,95,15.75%,4,0.66%,2,0.33%,0,0%,10,1.66%
35,5,540,471,87.22%,61,11.30%,1,0.19%,3,0.56%,0,0%,4,0.74%
35,6,630,554,87.94%,58,9.21%,10,1.59%,1,0.16%,0,0%,7,1.11%
35,7,625,572,91.52%,45,7.20%,3,0.48%,2,0.32%,1,0.16%,2,0.32%
35,8,622,535,86.01%,71,11.41%,7,1.13%,4,0.64%,1,0.16%,4,0.64%
35,9,627,483,77.03%,136,21.69%,5,0.80%,1,0.16%,1,0.16%,1,0.16%
35,10,701,643,91.73%,43,6.13%,9,1.28%,4,0.57%,0,0%,2,0.29%
35,11,711,609,85.65%,86,12.10%,4,0.56%,4,0.56%,1,0.14%,7,0.98%
35,12,454,364,80.18%,75,16.52%,4,0.88%,3,0.66%,0,0%,8,1.76%
35,13,493,411,83.37%,74,15.01%,3,0.61%,2,0.41%,0,0%,3,0.61%
35,14,516,436,84.50%,71,13.76%,2,0.39%,4,0.78%,0,0%,3,0.58%
35,15,728,632,86.81%,68,9.34%,9,1.24%,10,1.37%,1,0.14%,8,1.10%
35,16,368,308,83.70%,54,14.67%,5,1.36%,1,0.27%,0,0%,0,0%
35,17,635,568,89.45%,59,9.29%,2,0.31%,2,0.31%,0,0%,4,0.63%
35,18,427,348,81.50%,76,17.80%,1,0.23%,2,0.47%,0,0%,0,0%
35,19,419,344,82.10%,70,16.71%,2,0.48%,3,0.72%,0,0%,0,0%
35,20,639,533,83.41%,86,13.46%,5,0.78%,6,0.94%,2,0.31%,7,1.10%
35,21,632,564,89.24%,56,8.86%,4,0.63%,3,0.47%,0,0%,5,0.79%
35,22,741,634,85.56%,89,12.01%,6,0.81%,7,0.94%,3,0.40%,2,0.27%
35,23,633,523,82.62%,91,14.38%,8,1.26%,5,0.79%,0,0%,6,0.95%
35,24,559,484,86.58%,58,10.38%,6,1.07%,5,0.89%,0,0%,6,1.07%
35,25,626,543,86.74%,63,10.06%,7,1.12%,3,0.48%,3,0.48%,7,1.12%
35,26,524,439,83.78%,77,14.69%,2,0.38%,2,0.38%,1,0.19%,3,0.57%
35,27,574,485,84.49%,72,12.54%,3,0.52%,6,1.05%,1,0.17%,7,1.22%
35,28,595,522,87.73%,57,9.58%,6,1.01%,2,0.34%,1,0.17%,7,1.18%
35,29,627,489,77.99%,122,19.46%,3,0.48%,4,0.64%,4,0.64%,5,0.80%
35,30,616,502,81.49%,104,16.88%,4,0.65%,1,0.16%,0,0%,5,0.81%
35,31,662,543,82.02%,101,15.26%,6,0.91%,3,0.45%,2,0.30%,7,1.06%
36,1,525,398,75.81%,118,22.48%,4,0.76%,1,0.19%,0,0%,4,0.76%
36,2,542,437,80.63%,97,17.90%,6,1.11%,1,0.18%,0,0%,1,0.18%
36,3,466,360,77.25%,101,21.67%,1,0.21%,2,0.43%,1,0.21%,1,0.21%
36,4,562,456,81.14%,102,18.15%,2,0.36%,1,0.18%,0,0%,1,0.18%
36,5,469,391,83.37%,72,15.35%,4,0.85%,1,0.21%,1,0.21%,0,0%
36,6,496,384,77.42%,108,21.77%,1,0.20%,2,0.40%,0,0%,1,0.20%
36,7,631,363,57.53%,259,41.05%,3,0.48%,0,0%,0,0%,6,0.95%
36,8,435,359,82.53%,71,16.32%,4,0.92%,0,0%,0,0%,1,0.23%
36,9,515,414,80.39%,90,17.48%,2,0.39%,3,0.58%,2,0.39%,4,0.78%
36,10,692,501,72.40%,182,26.30%,3,0.43%,0,0%,1,0.14%,5,0.72%
36,11,385,309,80.26%,70,18.18%,5,1.30%,0,0%,0,0%,1,0.26%
36,12,389,310,79.69%,72,18.51%,4,1.03%,3,0.77%,0,0%,0,0%
36,13,401,332,82.79%,65,16.21%,1,0.25%,0,0%,0,0%,3,0.75%
36,14,584,435,74.49%,143,24.49%,0,0%,2,0.34%,0,0%,4,0.68%
36,15,578,386,66.78%,188,32.53%,0,0%,1,0.17%,0,0%,3,0.52%
36,16,543,401,73.85%,134,24.68%,3,0.55%,1,0.18%,0,0%,4,0.74%
36,17,659,461,69.95%,190,28.83%,3,0.46%,0,0%,0,0%,5,0.76%
36,18,606,413,68.15%,183,30.20%,4,0.66%,0,0%,1,0.17%,5,0.83%
36,19,676,518,76.63%,148,21.89%,7,1.04%,1,0.15%,0,0%,2,0.30%
36,20,617,434,70.34%,178,28.85%,3,0.49%,1,0.16%,0,0%,1,0.16%
36,21,495,388,78.38%,98,19.80%,6,1.21%,1,0.20%,0,0%,2,0.40%
36,22,468,371,79.27%,95,20.30%,1,0.21%,0,0%,0,0%,1,0.21%
36,23,496,387,78.02%,97,19.56%,4,0.81%,4,0.81%,1,0.20%,3,0.60%
36,24,658,442,67.17%,203,30.85%,2,0.30%,5,0.76%,0,0%,6,0.91%
36,25,548,447,81.57%,97,17.70%,1,0.18%,0,0%,1,0.18%,2,0.36%
36,26,556,323,58.09%,227,40.83%,4,0.72%,2,0.36%,0,0%,0,0%
36,27,499,373,74.75%,118,23.65%,5,1.00%,1,0.20%,0,0%,2,0.40%
36,28,570,359,62.98%,204,35.79%,2,0.35%,1,0.18%,2,0.35%,2,0.35%
36,29,596,395,66.28%,195,32.72%,1,0.17%,0,0%,1,0.17%,4,0.67%
36,30,535,382,71.40%,146,27.29%,3,0.56%,0,0%,0,0%,4,0.75%
37,1,380,349,91.84%,28,7.37%,0,0%,2,0.53%,0,0%,1,0.26%
37,2,373,343,91.96%,26,6.97%,2,0.54%,1,0.27%,0,0%,1,0.27%
37,3,316,304,96.20%,9,2.85%,3,0.95%,0,0%,0,0%,0,0%
37,4,360,323,89.72%,33,9.17%,0,0%,0,0%,3,0.83%,1,0.28%
37,5,452,428,94.69%,23,5.09%,0,0%,0,0%,1,0.22%,0,0%
37,6,462,436,94.37%,20,4.33%,1,0.22%,3,0.65%,2,0.43%,0,0%
37,7,358,316,88.27%,36,10.06%,1,0.28%,2,0.56%,0,0%,3,0.84%
37,8,332,299,90.06%,29,8.73%,0,0%,3,0.90%,0,0%,1,0.30%
37,9,461,437,94.79%,19,4.12%,2,0.43%,1,0.22%,0,0%,2,0.43%
37,10,559,508,90.88%,46,8.23%,3,0.54%,0,0%,0,0%,2,0.36%
37,11,294,278,94.56%,9,3.06%,2,0.68%,1,0.34%,2,0.68%,2,0.68%
37,12,412,374,90.78%,34,8.25%,0,0%,0,0%,3,0.73%,1,0.24%
37,13,325,300,92.31%,19,5.85%,3,0.92%,0,0%,1,0.31%,2,0.62%
37,14,468,443,94.66%,20,4.27%,2,0.43%,1,0.21%,1,0.21%,1,0.21%
37,15,450,418,92.89%,26,5.78%,4,0.89%,0,0%,2,0.44%,0,0%
37,16,507,473,93.29%,24,4.73%,5,0.99%,1,0.20%,1,0.20%,3,0.59%
37,17,320,303,94.69%,14,4.38%,1,0.31%,1,0.31%,0,0%,1,0.31%
37,18,385,360,93.51%,22,5.71%,2,0.52%,1,0.26%,0,0%,0,0%
37,19,334,313,93.71%,21,6.29%,0,0%,0,0%,0,0%,0,0%
37,20,393,365,92.88%,25,6.36%,1,0.25%,0,0%,2,0.51%,0,0%
37,21,408,370,90.69%,30,7.35%,1,0.25%,3,0.74%,0,0%,4,0.98%
37,22,424,375,88.44%,42,9.91%,3,0.71%,4,0.94%,0,0%,0,0%
37,23,422,402,95.26%,20,4.74%,0,0%,0,0%,0,0%,0,0%
37,24,452,422,93.36%,26,5.75%,4,0.88%,0,0%,0,0%,0,0%
37,25,388,357,92.01%,25,6.44%,2,0.52%,2,0.52%,0,0%,2,0.52%
37,26,578,515,89.10%,55,9.52%,3,0.52%,3,0.52%,1,0.17%,1,0.17%
37,27,406,379,93.35%,22,5.42%,3,0.74%,0,0%,0,0%,2,0.49%
37,28,397,362,91.18%,31,7.81%,2,0.50%,1,0.25%,0,0%,1,0.25%
37,29,420,392,93.33%,25,5.95%,2,0.48%,1,0.24%,0,0%,0,0%
37,30,422,397,94.08%,21,4.98%,2,0.47%,1,0.24%,0,0%,1,0.24%
37,31,501,469,93.61%,28,5.59%,2,0.40%,1,0.20%,0,0%,1,0.20%
37,32,386,362,93.78%,22,5.70%,0,0%,2,0.52%,0,0%,0,0%
37,33,484,453,93.60%,26,5.37%,4,0.83%,0,0%,1,0.21%,0,0%
37,34,389,369,94.86%,15,3.86%,1,0.26%,2,0.51%,1,0.26%,1,0.26%
37,35,418,400,95.69%,14,3.35%,1,0.24%,0,0%,0,0%,3,0.72%
37,36,422,399,94.55%,20,4.74%,1,0.24%,1,0.24%,1,0.24%,0,0%
37,37,484,449,92.77%,28,5.79%,4,0.83%,2,0.41%,1,0.21%,0,0%
37,38,465,429,92.26%,32,6.88%,2,0.43%,1,0.22%,0,0%,1,0.22%
37,39,416,389,93.51%,22,5.29%,4,0.96%,1,0.24%,0,0%,0,0%
37,40,455,433,95.16%,20,4.40%,2,0.44%,0,0%,0,0%,0,0%
37,41,469,434,92.54%,28,5.97%,4,0.85%,2,0.43%,1,0.21%,0,0%
38,1,533,383,71.86%,126,23.64%,8,1.50%,2,0.38%,6,1.13%,8,1.50%
38,2,625,210,33.60%,410,65.60%,3,0.48%,0,0%,0,0%,2,0.32%
38,3,630,335,53.17%,289,45.87%,4,0.63%,0,0%,0,0%,2,0.32%
38,4,577,302,52.34%,262,45.41%,3,0.52%,2,0.35%,4,0.69%,4,0.69%
38,5,624,349,55.93%,267,42.79%,4,0.64%,1,0.16%,0,0%,3,0.48%
38,6,630,329,52.22%,297,47.14%,2,0.32%,0,0%,0,0%,2,0.32%
38,7,576,280,48.61%,287,49.83%,2,0.35%,2,0.35%,0,0%,5,0.87%
38,8,576,326,56.60%,246,42.71%,0,0%,0,0%,0,0%,4,0.69%
38,9,676,332,49.11%,332,49.11%,7,1.04%,0,0%,1,0.15%,4,0.59%
38,10,526,311,59.13%,208,39.54%,2,0.38%,0,0%,0,0%,5,0.95%
38,11,520,329,63.27%,180,34.62%,1,0.19%,0,0%,1,0.19%,9,1.73%
38,12,624,236,37.82%,379,60.74%,3,0.48%,0,0%,1,0.16%,5,0.80%
38,13,663,356,53.70%,297,44.80%,2,0.30%,3,0.45%,1,0.15%,4,0.60%
38,14,628,400,63.69%,212,33.76%,3,0.48%,1,0.16%,1,0.16%,11,1.75%
38,15,561,366,65.24%,179,31.91%,4,0.71%,2,0.36%,0,0%,10,1.78%
38,16,588,337,57.31%,243,41.33%,4,0.68%,0,0%,0,0%,4,0.68%
38,17,716,326,45.53%,376,52.51%,5,0.70%,1,0.14%,1,0.14%,7,0.98%
38,18,638,380,59.56%,243,38.09%,4,0.63%,1,0.16%,2,0.31%,8,1.25%
38,19,675,392,58.07%,272,40.30%,5,0.74%,0,0%,1,0.15%,5,0.74%
38,20,613,275,44.86%,333,54.32%,4,0.65%,1,0.16%,0,0%,0,0%
38,21,568,384,67.61%,175,30.81%,1,0.18%,1,0.18%,1,0.18%,6,1.06%
38,22,537,375,69.83%,154,28.68%,2,0.37%,2,0.37%,2,0.37%,2,0.37%
38,23,598,397,66.39%,189,31.61%,6,1.00%,0,0%,1,0.17%,5,0.84%
38,24,628,321,51.11%,300,47.77%,4,0.64%,0,0%,0,0%,3,0.48%
38,25,555,327,58.92%,215,38.74%,6,1.08%,0,0%,1,0.18%,6,1.08%
38,26,638,365,57.21%,260,40.75%,2,0.31%,2,0.31%,1,0.16%,8,1.25%
38,27,622,332,53.38%,283,45.50%,5,0.80%,0,0%,0,0%,2,0.32%
38,28,725,346,47.72%,371,51.17%,3,0.41%,0,0%,0,0%,5,0.69%
38,29,623,369,59.23%,246,39.49%,4,0.64%,1,0.16%,0,0%,3,0.48%
38,30,612,297,48.53%,309,50.49%,1,0.16%,0,0%,0,0%,5,0.82%
38,31,570,407,71.40%,145,25.44%,5,0.88%,0,0%,5,0.88%,8,1.40%
38,32,572,373,65.21%,189,33.04%,4,0.70%,1,0.17%,0,0%,5,0.87%
38,33,583,396,67.92%,180,30.87%,2,0.34%,1,0.17%,1,0.17%,3,0.51%
38,34,571,411,71.98%,149,26.09%,3,0.53%,1,0.18%,2,0.35%,5,0.88%
38,35,576,430,74.65%,132,22.92%,3,0.52%,1,0.17%,2,0.35%,8,1.39%
38,36,563,372,66.07%,177,31.44%,7,1.24%,0,0%,1,0.18%,6,1.07%
38,37,590,388,65.76%,190,32.20%,4,0.68%,1,0.17%,0,0%,7,1.19%
38,38,598,337,56.35%,246,41.14%,12,2.01%,1,0.17%,0,0%,2,0.33%
38,39,620,434,70.00%,175,28.23%,2,0.32%,1,0.16%,1,0.16%,7,1.13%
38,40,587,398,67.80%,176,29.98%,3,0.51%,0,0%,4,0.68%,6,1.02%
38,41,514,410,79.77%,95,18.48%,0,0%,5,0.97%,1,0.19%,3,0.58%
39,1,583,368,63.12%,199,34.13%,7,1.20%,0,0%,1,0.17%,8,1.37%
39,2,562,320,56.94%,235,41.81%,2,0.36%,1,0.18%,1,0.18%,3,0.53%
39,3,624,501,80.29%,112,17.95%,2,0.32%,2,0.32%,0,0%,7,1.12%
39,4,567,355,62.61%,201,35.45%,3,0.53%,0,0%,3,0.53%,5,0.88%
39,5,597,433,72.53%,156,26.13%,4,0.67%,0,0%,1,0.17%,3,0.50%
39,6,596,454,76.17%,132,22.15%,5,0.84%,4,0.67%,0,0%,1,0.17%
39,7,527,400,75.90%,119,22.58%,2,0.38%,1,0.19%,0,0%,5,0.95%
39,8,645,477,73.95%,160,24.81%,4,0.62%,1,0.16%,0,0%,3,0.47%
39,9,554,399,72.02%,144,25.99%,4,0.72%,0,0%,2,0.36%,5,0.90%
39,10,279,234,83.87%,42,15.05%,3,1.08%,0,0%,0,0%,0,0%
39,11,561,388,69.16%,158,28.16%,7,1.25%,0,0%,0,0%,8,1.43%
39,12,784,637,81.25%,126,16.07%,10,1.28%,2,0.26%,3,0.38%,6,0.77%
39,13,551,385,69.87%,158,28.68%,4,0.73%,2,0.36%,0,0%,2,0.36%
39,14,587,444,75.64%,129,21.98%,6,1.02%,2,0.34%,0,0%,6,1.02%
39,15,722,405,56.09%,306,42.38%,2,0.28%,0,0%,0,0%,9,1.25%
39,16,594,444,74.75%,137,23.06%,2,0.34%,2,0.34%,3,0.51%,6,1.01%
39,17,601,434,72.21%,165,27.45%,0,0%,0,0%,1,0.17%,1,0.17%
39,18,579,421,72.71%,154,26.60%,1,0.17%,1,0.17%,0,0%,2,0.35%
39,19,572,428,74.83%,129,22.55%,3,0.52%,1,0.17%,1,0.17%,10,1.75%
39,20,734,413,56.27%,310,42.23%,6,0.82%,0,0%,1,0.14%,4,0.54%
39,21,582,333,57.22%,239,41.07%,2,0.34%,2,0.34%,0,0%,6,1.03%
39,22,600,456,76.00%,132,22.00%,6,1.00%,2,0.33%,0,0%,4,0.67%
39,23,589,354,60.10%,222,37.69%,5,0.85%,0,0%,1,0.17%,7,1.19%
39,24,733,423,57.71%,301,41.06%,2,0.27%,1,0.14%,0,0%,6,0.82%
39,25,522,416,79.69%,99,18.97%,3,0.57%,0,0%,0,0%,4,0.77%
39,26,592,356,60.14%,229,38.68%,2,0.34%,1,0.17%,0,0%,4,0.68%
39,27,91,58,63.74%,32,35.16%,1,1.10%,0,0%,0,0%,0,0%
39,28,708,593,83.76%,102,14.41%,8,1.13%,0,0%,1,0.14%,4,0.56%
39,29,334,263,78.74%,60,17.96%,7,2.10%,2,0.60%,0,0%,2,0.60%
39,30,692,573,82.80%,109,15.75%,6,0.87%,2,0.29%,2,0.29%,0,0%
39,31,524,414,79.01%,102,19.47%,2,0.38%,0,0%,1,0.19%,5,0.95%
39,32,578,320,55.36%,252,43.60%,3,0.52%,1,0.17%,1,0.17%,1,0.17%
39,33,631,474,75.12%,149,23.61%,5,0.79%,0,0%,0,0%,3,0.48%
39,34,709,549,77.43%,137,19.32%,10,1.41%,3,0.42%,2,0.28%,8,1.13%
39,35,601,467,77.70%,119,19.80%,6,1.00%,0,0%,3,0.50%,6,1.00%
39,36,149,106,71.14%,41,27.52%,2,1.34%,0,0%,0,0%,0,0%
39,37,552,381,69.02%,155,28.08%,7,1.27%,0,0%,3,0.54%,6,1.09%
39,38,306,221,72.22%,84,27.45%,0,0%,0,0%,0,0%,1,0.33%
39,39,370,264,71.35%,99,26.76%,5,1.35%,0,0%,1,0.27%,1,0.27%
39,40,619,389,62.84%,221,35.70%,0,0%,1,0.16%,0,0%,8,1.29%
39,41,611,397,64.98%,200,32.73%,4,0.65%,1,0.16%,3,0.49%,6,0.98%
39,42,609,364,59.77%,236,38.75%,1,0.16%,1,0.16%,1,0.16%,6,0.99%
39,43,615,367,59.67%,238,38.70%,1,0.16%,2,0.33%,0,0%,7,1.14%
39,44,481,298,61.95%,175,36.38%,3,0.62%,0,0%,0,0%,5,1.04%
39,45,523,336,64.24%,175,33.46%,3,0.57%,1,0.19%,1,0.19%,7,1.34%
40,1,630,439,69.68%,183,29.05%,4,0.63%,1,0.16%,0,0%,3,0.48%
40,2,664,523,78.77%,134,20.18%,3,0.45%,2,0.30%,0,0%,2,0.30%
40,3,777,676,87.00%,90,11.58%,4,0.51%,2,0.26%,0,0%,5,0.64%
40,4,405,319,78.77%,85,20.99%,0,0%,0,0%,0,0%,1,0.25%
40,5,698,573,82.09%,113,16.19%,2,0.29%,5,0.72%,0,0%,5,0.72%
40,6,742,655,88.27%,70,9.43%,7,0.94%,2,0.27%,1,0.13%,7,0.94%
40,7,613,532,86.79%,62,10.11%,6,0.98%,0,0%,4,0.65%,9,1.47%
40,8,843,760,90.15%,73,8.66%,3,0.36%,1,0.12%,2,0.24%,4,0.47%
40,9,554,420,75.81%,125,22.56%,6,1.08%,1,0.18%,0,0%,2,0.36%
40,10,745,579,77.72%,151,20.27%,5,0.67%,1,0.13%,2,0.27%,7,0.94%
40,11,637,560,87.91%,62,9.73%,4,0.63%,1,0.16%,0,0%,10,1.57%
40,12,577,502,87.00%,63,10.92%,5,0.87%,3,0.52%,0,0%,4,0.69%
40,13,920,836,90.87%,70,7.61%,6,0.65%,5,0.54%,0,0%,3,0.33%
40,14,657,459,69.86%,188,28.61%,1,0.15%,3,0.46%,0,0%,6,0.91%
40,15,662,507,76.59%,143,21.60%,3,0.45%,5,0.76%,3,0.45%,1,0.15%
40,16,835,740,88.62%,67,8.02%,11,1.32%,5,0.60%,0,0%,12,1.44%
40,17,542,424,78.23%,111,20.48%,2,0.37%,2,0.37%,2,0.37%,1,0.18%
40,18,559,465,83.18%,84,15.03%,7,1.25%,2,0.36%,0,0%,1,0.18%
40,19,796,616,77.39%,166,20.85%,7,0.88%,1,0.13%,0,0%,6,0.75%
40,20,685,544,79.42%,127,18.54%,5,0.73%,2,0.29%,2,0.29%,5,0.73%
40,21,714,638,89.36%,64,8.96%,3,0.42%,0,0%,0,0%,9,1.26%
40,22,766,683,89.16%,73,9.53%,3,0.39%,1,0.13%,0,0%,6,0.78%
40,23,758,673,88.79%,70,9.23%,6,0.79%,2,0.26%,2,0.26%,5,0.66%
40,24,637,443,69.54%,180,28.26%,5,0.78%,3,0.47%,1,0.16%,5,0.78%
40,25,752,677,90.03%,66,8.78%,2,0.27%,2,0.27%,0,0%,5,0.66%
40,26,686,618,90.09%,54,7.87%,5,0.73%,0,0%,1,0.15%,8,1.17%
40,27,835,700,83.83%,120,14.37%,6,0.72%,2,0.24%,2,0.24%,5,0.60%
40,28,666,586,87.99%,63,9.46%,9,1.35%,3,0.45%,0,0%,5,0.75%
40,29,649,496,76.43%,143,22.03%,5,0.77%,2,0.31%,0,0%,3,0.46%
40,30,558,385,69.00%,162,29.03%,5,0.90%,2,0.36%,3,0.54%,1,0.18%
40,31,702,640,91.17%,51,7.26%,5,0.71%,1,0.14%,0,0%,5,0.71%
40,32,702,626,89.17%,67,9.54%,1,0.14%,2,0.28%,0,0%,6,0.85%
40,33,611,563,92.14%,40,6.55%,3,0.49%,1,0.16%,0,0%,4,0.65%
40,34,601,435,72.38%,153,25.46%,5,0.83%,1,0.17%,0,0%,7,1.16%
40,35,498,373,74.90%,111,22.29%,7,1.41%,1,0.20%,2,0.40%,4,0.80%
40,36,569,478,84.01%,80,14.06%,4,0.70%,1,0.18%,0,0%,6,1.05%
40,37,688,581,84.45%,97,14.10%,5,0.73%,2,0.29%,0,0%,3,0.44%
40,38,769,665,86.48%,85,11.05%,7,0.91%,1,0.13%,5,0.65%,6,0.78%
40,39,282,206,73.05%,75,26.60%,0,0%,0,0%,1,0.35%,0,0%
41,1,601,261,43.43%,331,55.07%,5,0.83%,0,0%,0,0%,4,0.67%
41,2,645,262,40.62%,375,58.14%,3,0.47%,0,0%,0,0%,5,0.78%
41,3,617,325,52.67%,279,45.22%,2,0.32%,0,0%,0,0%,11,1.78%
41,4,601,326,54.24%,267,44.43%,3,0.50%,1,0.17%,1,0.17%,3,0.50%
41,5,740,403,54.46%,318,42.97%,7,0.95%,0,0%,0,0%,12,1.62%
41,6,685,393,57.37%,278,40.58%,2,0.29%,0,0%,0,0%,12,1.75%
41,7,642,326,50.78%,302,47.04%,7,1.09%,0,0%,1,0.16%,6,0.93%
41,8,633,321,50.71%,298,47.08%,3,0.47%,1,0.16%,0,0%,10,1.58%
41,9,618,355,57.44%,253,40.94%,4,0.65%,1,0.16%,0,0%,5,0.81%
41,10,624,349,55.93%,262,41.99%,2,0.32%,0,0%,2,0.32%,9,1.44%
41,11,675,300,44.44%,365,54.07%,3,0.44%,1,0.15%,1,0.15%,5,0.74%
41,12,691,317,45.88%,370,53.55%,0,0%,1,0.14%,1,0.14%,2,0.29%
