Ward,Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
29,5,393,362,92.11%,28,7.12%,1,0.25%,0,0%,2,0.51%,0,0%
29,6,384,372,96.88%,11,2.86%,1,0.26%,0,0%,0,0%,0,0%
29,7,517,453,87.62%,58,11.22%,4,0.77%,1,0.19%,0,0%,1,0.19%
29,8,459,424,92.37%,22,4.79%,6,1.31%,2,0.44%,1,0.22%,4,0.87%
29,9,546,410,75.09%,126,23.08%,5,0.92%,1,0.18%,0,0%,4,0.73%
29,10,639,514,80.44%,115,18.00%,4,0.63%,1,0.16%,0,0%,5,0.78%
29,11,284,266,93.66%,14,4.93%,2,0.70%,0,0%,2,0.70%,0,0%
29,12,573,533,93.02%,33,5.76%,3,0.52%,2,0.35%,0,0%,2,0.35%
29,13,506,479,94.66%,22,4.35%,2,0.40%,1,0.20%,2,0.40%,0,0%
29,14,433,418,96.54%,11,2.54%,1,0.23%,0,0%,1,0.23%,2,0.46%
29,15,526,500,95.06%,22,4.18%,2,0.38%,1,0.19%,1,0.19%,0,0%
29,16,463,445,96.11%,15,3.24%,3,0.65%,0,0%,0,0%,0,0%
29,17,460,437,95.00%,14,3.04%,7,1.52%,1,0.22%,1,0.22%,0,0%
29,18,478,458,95.82%,14,2.93%,2,0.42%,1,0.21%,1,0.21%,2,0.42%
29,19,488,461,94.47%,20,4.10%,3,0.61%,1,0.20%,1,0.20%,2,0.41%
29,20,497,475,95.57%,15,3.02%,4,0.80%,1,0.20%,0,0%,2,0.40%
29,21,671,635,94.63%,26,3.87%,3,0.45%,5,0.75%,1,0.15%,1,0.15%
29,22,428,385,89.95%,39,9.11%,1,0.23%,2,0.47%,0,0%,1,0.23%
29,23,618,430,69.58%,180,29.13%,2,0.32%,1,0.16%,1,0.16%,4,0.65%
29,24,467,440,94.22%,19,4.07%,3,0.64%,4,0.86%,1,0.21%,0,0%
29,25,540,518,95.93%,17,3.15%,3,0.56%,0,0%,0,0%,2,0.37%
29,26,455,424,93.19%,22,4.84%,4,0.88%,1,0.22%,2,0.44%,2,0.44%
29,27,443,428,96.61%,12,2.71%,1,0.23%,1,0.23%,0,0%,1,0.23%
29,28,607,584,96.21%,13,2.14%,7,1.15%,2,0.33%,0,0%,1,0.16%
29,29,661,409,61.88%,243,36.76%,9,1.36%,0,0%,0,0%,0,0%
29,30,699,583,83.40%,111,15.88%,0,0%,1,0.14%,0,0%,4,0.57%
29,31,629,330,52.46%,289,45.95%,0,0%,1,0.16%,1,0.16%,8,1.27%
29,32,618,346,55.99%,259,41.91%,4,0.65%,2,0.32%,1,0.16%,6,0.97%
29,33,351,336,95.73%,14,3.99%,0,0%,1,0.28%,0,0%,0,0%
29,34,371,332,89.49%,37,9.97%,0,0%,0,0%,0,0%,2,0.54%
29,35,368,353,95.92%,10,2.72%,1,0.27%,3,0.82%,0,0%,1,0.27%
29,36,401,378,94.26%,22,5.49%,1,0.25%,0,0%,0,0%,0,0%
29,37,453,415,91.61%,29,6.40%,2,0.44%,1,0.22%,5,1.10%,1,0.22%
29,38,646,467,72.29%,166,25.70%,9,1.39%,1,0.15%,1,0.15%,2,0.31%
29,39,635,412,64.88%,214,33.70%,5,0.79%,0,0%,1,0.16%,3,0.47%
29,40,542,513,94.65%,17,3.14%,7,1.29%,3,0.55%,1,0.18%,1,0.18%
29,41,420,387,92.14%,22,5.24%,6,1.43%,2,0.48%,1,0.24%,2,0.48%
29,42,544,520,95.59%,18,3.31%,4,0.74%,0,0%,0,0%,2,0.37%
29,43,614,541,88.11%,64,10.42%,5,0.81%,1,0.16%,0,0%,3,0.49%
29,44,628,585,93.15%,38,6.05%,0,0%,2,0.32%,2,0.32%,1,0.16%
30,1,638,492,77.12%,135,21.16%,2,0.31%,4,0.63%,1,0.16%,4,0.63%
30,2,635,444,69.92%,185,29.13%,1,0.16%,2,0.31%,2,0.31%,1,0.16%
30,3,447,375,83.89%,62,13.87%,3,0.67%,3,0.67%,0,0%,4,0.89%
30,4,587,407,69.34%,168,28.62%,2,0.34%,2,0.34%,3,0.51%,5,0.85%
30,5,451,354,78.49%,94,20.84%,2,0.44%,1,0.22%,0,0%,0,0%
30,6,473,367,77.59%,103,21.78%,0,0%,0,0%,2,0.42%,1,0.21%
30,7,620,490,79.03%,120,19.35%,2,0.32%,1,0.16%,4,0.65%,3,0.48%
30,8,678,552,81.42%,111,16.37%,6,0.88%,5,0.74%,1,0.15%,3,0.44%
30,9,522,375,71.84%,139,26.63%,4,0.77%,2,0.38%,0,0%,2,0.38%
30,10,631,480,76.07%,141,22.35%,3,0.48%,0,0%,1,0.16%,6,0.95%
30,11,562,463,82.38%,91,16.19%,4,0.71%,2,0.36%,1,0.18%,1,0.18%
30,12,537,409,76.16%,117,21.79%,3,0.56%,3,0.56%,0,0%,5,0.93%
30,13,570,409,71.75%,154,27.02%,2,0.35%,0,0%,0,0%,5,0.88%
30,14,451,347,76.94%,101,22.39%,2,0.44%,0,0%,1,0.22%,0,0%
